date,account,total_closed_pnl,total_size,trades,buy_trades,sell_trades,daily_pnl_bucket,value,classification,sentiment_score,sentiment_bucket,classification_bin,sentiment_bin
2023-05-01,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,0.25129999999999997,3,3,0,low,63.0,greed,63.0,greed,2,3
2023-12-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,11.80901,9,7,2,low,75.0,extreme greed,75.0,greed,2,3
2023-12-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-205.43473700000007,4092.28901,11,5,6,negative,72.0,greed,72.0,greed,2,3
2023-12-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-24.632033999999997,3558.0,2,2,0,low,70.0,greed,70.0,greed,2,3
2023-12-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,39897.0,3,3,0,low,67.0,greed,67.0,greed,2,3
2023-12-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,304.982785,86246.4486,14,3,11,positive,73.0,greed,73.0,greed,2,3
2023-12-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,14.306,2,2,0,low,65.0,greed,65.0,greed,2,3
2023-12-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1000.5386120000001,161546.30599999998,15,5,10,positive,73.0,greed,73.0,greed,2,3
2023-12-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,162.732282,174520.2,18,10,8,positive,74.0,greed,74.0,greed,2,3
2023-12-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,537.211402,1364.3,49,22,27,positive,70.0,greed,70.0,greed,2,3
2023-12-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,141.832675,2450.7491,10,8,2,positive,74.0,greed,74.0,greed,2,3
2023-12-23,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,146.936704,141665.4,13,5,8,positive,70.0,greed,70.0,greed,2,3
2023-12-24,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1008.619956,284682.19608,39,21,18,positive,71.0,greed,71.0,greed,2,3
2023-12-25,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-245.081348,26.3812,3,2,1,negative,73.0,greed,73.0,greed,2,3
2023-12-27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-704.8892269999999,455540.0,28,15,13,negative,73.0,greed,73.0,greed,2,3
2023-12-28,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-970.730876,263752.0,23,10,13,negative,73.0,greed,73.0,greed,2,3
2023-12-29,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,508.92214299999995,15843.60258,50,31,19,positive,65.0,greed,65.0,greed,2,3
2023-12-30,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,354.998648,158399.89232,52,20,32,positive,68.0,greed,68.0,greed,2,3
2024-01-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-129.53146,4178.78664,18,10,8,negative,65.0,greed,65.0,greed,2,3
